fact_id,kg_exact,kg_sp_count,kg_po_count
http://swc2017.aksw.org/task2/dataset/3203751,0,1,470
http://swc2017.aksw.org/task2/dataset/3204695,0,0,357
http://swc2017.aksw.org/task2/dataset/3204794,0,0,0
http://swc2017.aksw.org/task2/dataset/3205550,0,1,443
http://swc2017.aksw.org/task2/dataset/3205585,0,1,443
http://swc2017.aksw.org/task2/dataset/3210127,0,0,282
http://swc2017.aksw.org/task2/dataset/3210146,0,1,553
http://swc2017.aksw.org/task2/dataset/3210287,0,1,178
http://swc2017.aksw.org/task2/dataset/3210426,0,0,517
http://swc2017.aksw.org/task2/dataset/3210709,0,0,565
http://swc2017.aksw.org/task2/dataset/3210826,0,1,397
http://swc2017.aksw.org/task2/dataset/3211212,0,0,263
http://swc2017.aksw.org/task2/dataset/3211646,0,0,467
http://swc2017.aksw.org/task2/dataset/3211901,0,1,4
http://swc2017.aksw.org/task2/dataset/3212050,0,0,357
http://swc2017.aksw.org/task2/dataset/3212177,0,0,397
http://swc2017.aksw.org/task2/dataset/3212195,0,0,499
http://swc2017.aksw.org/task2/dataset/3212203,0,1,613
http://swc2017.aksw.org/task2/dataset/3212622,0,1,189
http://swc2017.aksw.org/task2/dataset/3212717,0,0,470
http://swc2017.aksw.org/task2/dataset/3212726,0,0,189
http://swc2017.aksw.org/task2/dataset/3212902,1,1,329
http://swc2017.aksw.org/task2/dataset/3213073,0,0,329
http://swc2017.aksw.org/task2/dataset/3213081,0,0,329
http://swc2017.aksw.org/task2/dataset/3213143,0,0,397
http://swc2017.aksw.org/task2/dataset/3213194,0,0,439
http://swc2017.aksw.org/task2/dataset/3213978,0,1,613
http://swc2017.aksw.org/task2/dataset/3214012,0,0,4
http://swc2017.aksw.org/task2/dataset/3214221,0,1,499
http://swc2017.aksw.org/task2/dataset/3214356,0,0,0
http://swc2017.aksw.org/task2/dataset/3214422,0,0,443
http://swc2017.aksw.org/task2/dataset/3214569,0,0,0
http://swc2017.aksw.org/task2/dataset/3214933,0,0,470
http://swc2017.aksw.org/task2/dataset/3215136,0,0,565
http://swc2017.aksw.org/task2/dataset/3215358,0,0,485
http://swc2017.aksw.org/task2/dataset/3215488,0,0,482
http://swc2017.aksw.org/task2/dataset/3216094,0,0,155
